,Unnamed: 0,id_unic,business_id,local_name,category,main_category,opinion,feeling,resp,has_response,states,city
0,0,106431733,0x863f60436a054009:0xa28a3dfa4563,D & D's Backyard restraunt,restaurant,food_services,"Everything was delicious! Great service, environment and entertainment.",Positive,did not answer,no,TX, La Porte
2,2,101933603,0x89c6c7b9714bc937:0xd4dc2c15498fa,Karma Pizza,pizza restaurant    delivery restaurant,food_services,The pizza is as good as any Ive had anywhere.,Positive,did not answer,no,PA, Philadelphia
3,3,100149271,0x89c6c7b9714bc937:0xd4dc2c15498fa,Karma Pizza,pizza restaurant    delivery restaurant,food_services,"Need to update website with new menu and prices, its 2017 why do you have a 2015 menu and wont honor the prices?",Positive,did not answer,no,PA, Philadelphia
4,4,10650871,0x89da3e2fb52954bf:0xed9879367bcf1,Poole's Drive-In,family restaurant,food_services,"Great place, great food and great people!",Positive,did not answer,no,NY, Cortland
5,5,114107352,0x89da3e2fb52954bf:0xed9879367bcf1,Poole's Drive-In,family restaurant,food_services,"This is a stand with hot food, and inside dinning.",Positive,did not answer,no,NY, Cortland
6,6,106534452,0x89da3e2fb52954bf:0xed9879367bcf1,Poole's Drive-In,family restaurant,food_services,Very friendly and reasonably priced,Positive,did not answer,no,NY, Cortland
7,7,117563713,0x89ddad046794d20d:0x9686dfd448403,Bear Creek Landing,american restaurant,food_services,"Rough on the feet, good for the feels.",Positive,did not answer,no,NY, Hunter
8,8,101224988,0x89de61e2c44780bb:0x27dffc1a32ebf,All American Diner,restaurant,food_services,Great Food Great prices,Positive,did not answer,no,NY, Amsterdam
9,9,105966121,0x89de61e2c44780bb:0x27dffc1a32ebf,All American Diner,restaurant,food_services,Great food and service!,Positive,did not answer,no,NY, Amsterdam
10,10,102731427,0x89de61e2c44780bb:0x27dffc1a32ebf,All American Diner,restaurant,food_services,Good food and great prices. The portions are big and I usually require a box to take things home. The waitress is always friendly and the owner is always present as well. This is a cash only resturant as well.,Positive,did not answer,no,NY, Amsterdam
11,11,114592543,0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,breakfast restaurant    lunch restaurant    delivery restaurant,food_services,Food was good and for a decent price.,Positive,did not answer,no,PA, Philadelphia
12,12,110185683,0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,breakfast restaurant    lunch restaurant    delivery restaurant,food_services,THE BEST BREAKFAST N CHEAP,Positive,did not answer,no,PA, Philadelphia
13,13,103699431,0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,breakfast restaurant    lunch restaurant    delivery restaurant,food_services,Good breakfast,Positive,did not answer,no,PA, Philadelphia
14,14,11060152,0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,breakfast restaurant    lunch restaurant    delivery restaurant,food_services,Good services,Positive,did not answer,no,PA, Philadelphia
15,15,116107555,0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,breakfast restaurant    lunch restaurant    delivery restaurant,food_services,Great food and service..not to mention I love Asians,Positive,did not answer,no,PA, Philadelphia
16,16,102351251,0x54d46d16e1707505:0x70db9791347745,The Green Bean,restaurant,food_services,Lovely spot. Great food and drinks.,Positive,did not answer,no,CA, Rio Dell
18,18,114644817,0x54d46d16e1707505:0x70db9791347745,The Green Bean,restaurant,food_services,"I have only eaten here twice so far but I do intend to return to develop a more complete opinion. Twice Ive had the Chicken and Spinach Wrap and twice I thought it was great. Good clean ingredients without anything coated in batter. Perfect for a lunch on the go for me. Fast turn around too! I waited five minutes max between placing the order an receiving it and that includEd calling in to place my order. I intend to try their crepes tomorrow morning. The price is average but a little higher then Id like. My wrap was definitely filling but it came out to $7, more then I would have expected. I definitely say its worth trying and developing your own opinion but to have more options in the Rio Dell / Scotia area is desperately needed and I think this is a great start to that.",Positive,did not answer,no,CA, Rio Dell
19,19,117701352,0x8081975061b61a03:0x68ca78ede9d978,Roland's Bistro,bbq area    takeout restaurant    wine bar,food_services,"Highly priced for sub-par, simple food. Not worth the stop",Positive,did not answer,no,CA, Willits
21,21,100387624,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,delicious,Positive,did not answer,no,CA, CA 94545
22,22,114757015,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,"Tasty, healthy, mostly fresh but pricey.",Positive,did not answer,no,CA, CA 94545
24,24,105801607,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,Soup is available after morning time,Positive,did not answer,no,CA, CA 94545
25,25,117451917,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,Food always delicious,Positive,did not answer,no,CA, CA 94545
26,26,104083036,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,"(Translated by Google) Quick dispatch, parking and attention (Original) Rápido despacho , parqueo y atención",Positive,did not answer,no,CA, CA 94545
27,27,117021939,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,(Translated by Google) Delicious sandwiches and very rich soup! (Original) Deliciosos sándwiches y muy rica sopa!,Positive,did not answer,no,CA, CA 94545
30,30,106112271,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,Love the broccoli cheese soup!,Positive,did not answer,no,CA, CA 94545
32,32,104310229,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,I love Clam Chowder Fridays... its the only day I go now..,Positive,did not answer,no,CA, CA 94545
33,33,10170772,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,"I enjoy Panera very much, but they will always be missing one star until they bring back their old lemonade. I know, it sounds petty, but it was really good. This new one is not bad, just not good enough for that last star.",Positive,did not answer,no,CA, CA 94545
34,34,107058683,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,This Panera location is great! Sat outside & the server brought us our food. Everyone is so nice :),Positive,did not answer,no,CA, CA 94545
35,35,103026612,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,Great service! Great food!,Positive,did not answer,no,CA, CA 94545
36,36,113136317,0x808f914094fdfb0d:0xee9364d8ccb35c,Panera Bread,cafe    bakery    breakfast restaurant    caterer    coffee shop    delivery service    takeout restaurant    salad shop    sandwich shop    soup restaurant,food_services,(Translated by Google) Delicious breakfasts in this place and all very fresh (Original) Deliciosos desayunos en este lugar y todo muy fresco,Positive,did not answer,no,CA, CA 94545
37,37,104219986,0x808fb73401c54263:0x2ec20f322f627b,Verde Tea Kitchen,restaurant    bubble tea store    chinese restaurant    italian restaurant,food_services,Good snack food/milk tea combination,Positive,did not answer,no,CA, Mountain View
38,38,113618457,0x808fb73401c54263:0x2ec20f322f627b,Verde Tea Kitchen,restaurant    bubble tea store    chinese restaurant    italian restaurant,food_services,"I like this place. Reasonably priced, decent food, often open until 11, but check the hours. Pork and rice is only 5 bucks.",Positive,did not answer,no,CA, Mountain View
39,39,106757021,0x808fcb4129f3ea4d:0xfab6b64397828b,New China Food,chinese restaurant,food_services,"Bitter melon with beef. Tastes great, a little too much beef, would have liked more bitter melon. Will be back. The lamb was very good, co-worker says its a favorite with his family.",Positive,did not answer,no,CA, San Jose
40,40,116574294,0x809012c63fe2e697:0x4e5a660686a038,A&W Restaurant,fast food restaurant    american restaurant    hamburger restaurant,food_services,"Papa burger Tuesdays buy one get one free meal, has seriously won me over",Positive,did not answer,no,CA, CA 95206
41,41,118130442,0x8091062b6ae7242b:0xcdd7c8573ff431,Javi's Tacos,taco restaurant,food_services,"Really good but they keep forgetting to put jalapenos and limes, sucks to keep asking.",Positive,did not answer,no,CA, Turlock
42,42,115269189,0x8091062b6ae7242b:0xcdd7c8573ff431,Javi's Tacos,taco restaurant,food_services,Outstanding food and service,Positive,did not answer,no,CA, Turlock
43,43,109770224,0x8091062b6ae7242b:0xcdd7c8573ff431,Javi's Tacos,taco restaurant,food_services,Fresh & delicious!,Positive,did not answer,no,CA, Turlock
44,44,10888163,0x809467cf3246a297:0xad14e36cc5a9a4,Zipangu Japanese Restaurant,japanese restaurant    restaurant    sushi restaurant,food_services,"Been a follower of Sano for years. Im glad to see him back, so I hope his place succeeds. The place is very run down, and all the new waitstaff are young and inexperienced, with little customer service skills. Clean the tables, have a setting on the table so people arent having to ask for things. Keep the drinks filled.",Positive,did not answer,no,CA, Fresno
45,45,112226463,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,"Love this place, great food and friendly staff",Positive,did not answer,no,CA, CA 93291
46,46,10094326,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Best food in town,Positive,did not answer,no,CA, CA 93291
47,47,107275259,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Great service good food,Positive,did not answer,no,CA, CA 93291
48,48,104693216,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Always wonderful food. Great atmosphere.,Positive,did not answer,no,CA, CA 93291
49,49,103286358,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Loved it amazing place...,Positive,did not answer,no,CA, CA 93291
50,50,100061696,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Great atmosphere and great food. Great place for the family or just a nice breakfast,Positive,did not answer,no,CA, CA 93291
52,52,107460981,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Very nice place to eat. Great food and very nice waitresses,Positive,did not answer,no,CA, CA 93291
